timestamp	recursivellm_commit	v2_val_ce	v3_val_ce	v2_step_ms	v3_step_ms	v2_decode_ms	v3_decode_ms	status	description
2026-03-13T02:00:00Z	a5dc8d5	8.587618	8.607483	49.35	87.01	18.73	25.57	keep	baseline current RecursiveLLM model3_v2 vs model3_v3 bakeoff
2026-03-13T02:42:56Z	a5dc8d5	10.061545	9.976113	47.36	85.66	17.91	24.82	discard	screen single_proposal: workspace_num_proposals=1 to reduce proposal softmax overhead
2026-03-13T02:43:04Z	a5dc8d5	10.057383	9.976113	48.21	84.62	18.15	25.25	keep	screen single_proposal_no_collapse: single proposal plus remove collapse regularizer tax
2026-03-13T02:43:13Z	a5dc8d5	10.050641	9.976113	49.44	87.14	18.76	24.79	keep	screen sparse_teacher: critic_sparse planner teacher on v2
2026-03-13T02:43:26Z	a5dc8d5	9.275328	9.214907	47.95	85.60	17.63	25.06	keep	final single_proposal_no_collapse: single proposal plus remove collapse regularizer tax
2026-03-13T02:43:39Z	a5dc8d5	9.276356	9.214907	49.13	85.52	18.46	25.06	keep	final sparse_teacher: critic_sparse planner teacher on v2
2026-03-13T03:02:20Z	a5dc8d5	10.648135	10.537401	48.89	88.25	18.58	28.26	discard	screen [control_teacher] sparse_teacher_first_last: Replace dense exact planner teacher with sparse critic calibration on first/last loops.
2026-03-13T03:05:49Z	a5dc8d5	10.057383	9.976113	51.98	106.87	19.54	28.68	discard	screen [control_teacher] sparse_teacher_first_last: Replace dense exact planner teacher with sparse critic calibration on first/last loops.
2026-03-13T03:05:59Z	a5dc8d5	10.057383	9.976113	53.83	93.19	19.06	26.10	discard	screen [control_teacher] sparse_teacher_stride2: Sparse critic teacher plus stride-2 block probes to cut supervision cost further.
2026-03-13T03:06:08Z	a5dc8d5	10.057383	9.976113	52.02	93.54	18.87	26.79	discard	screen [control_teacher] sparse_teacher_stride4: More aggressive stride-4 sparse planner probes.
2026-03-13T03:06:18Z	a5dc8d5	10.057383	9.976113	50.31	96.72	19.10	27.03	keep	screen [control_teacher] sparse_teacher_sampled_every2: Sampled sparse planner teacher every 2 loops.
2026-03-13T03:06:28Z	a5dc8d5	10.057383	9.976113	53.10	96.35	19.37	27.48	discard	screen [control_teacher] sparse_teacher_sampled_every4: Sampled sparse planner teacher every 4 loops for maximal supervision savings.
2026-03-13T03:06:38Z	a5dc8d5	10.039291	9.976113	53.93	90.36	19.52	25.24	keep	screen [control_teacher] sparse_teacher_no_halt: Sparse teacher with halt head removed to reduce redundant control heads.
2026-03-13T03:06:48Z	a5dc8d5	10.057383	9.976113	56.28	96.18	20.03	24.69	discard	screen [control_teacher] sparse_teacher_with_k_head: Sparse teacher with explicit k-head supervision for active-block width.
2026-03-13T03:06:57Z	a5dc8d5	10.057383	9.976113	48.53	82.60	17.60	24.92	keep	screen [control_teacher] sparse_teacher_with_loop_value: Sparse teacher plus explicit loop-value regression target.
2026-03-13T03:07:06Z	a5dc8d5	10.059819	9.976113	48.54	86.69	17.23	24.32	keep	screen [control_teacher] sparse_teacher_low_compute_cost: Lower compute penalty to encourage planner to spend more recurrent compute.
2026-03-13T03:07:15Z	a5dc8d5	10.058086	9.976113	48.56	85.48	17.18	39.88	keep	screen [control_teacher] sparse_teacher_high_compute_cost: Higher compute penalty to enforce more aggressive compute pruning.
2026-03-13T03:07:24Z	a5dc8d5	10.049188	9.976113	45.21	85.04	54.94	25.01	keep	screen [budget] loops3: Reduce recurrent depth from 4 to 3 loops.
2026-03-13T03:07:33Z	a5dc8d5	10.057478	9.976113	41.02	83.68	12.82	24.12	keep	screen [budget] loops2: Reduce recurrent depth from 4 to 2 loops for stronger throughput gains.
2026-03-13T03:07:42Z	a5dc8d5	10.051322	9.976113	46.97	85.09	16.86	24.78	keep	screen [budget] frontier3: Shrink editable frontier from 4 blocks to 3 blocks.
2026-03-13T03:07:50Z	a5dc8d5	10.071202	9.976113	46.65	83.32	17.07	24.93	discard	screen [budget] frontier2: Shrink editable frontier from 4 blocks to 2 blocks.
2026-03-13T03:07:59Z	a5dc8d5	10.044446	9.976113	43.41	86.12	14.84	25.68	keep	screen [budget] loops3_frontier3: Jointly trim recurrent depth and editable frontier width.
2026-03-13T03:08:08Z	a5dc8d5	10.052265	9.976113	40.00	84.84	12.45	24.35	keep	screen [budget] loops2_frontier2: Aggressively trim both loop count and frontier width.
2026-03-13T03:08:17Z	a5dc8d5	10.053810	9.976113	48.54	82.78	17.66	25.13	keep	screen [budget] executor_min_active2: Force at least two active blocks to reduce over-pruning risk.
2026-03-13T03:08:26Z	a5dc8d5	10.036546	9.976113	51.75	83.37	18.28	24.14	keep	screen [budget] dense_no_executor: Disable block executor and run dense frontier updates as a control.
2026-03-13T03:08:34Z	a5dc8d5	10.026810	9.976113	48.90	82.69	17.13	24.58	keep	screen [workspace] workspace_slots4: Reduce workspace slots from 6 to 4 to improve throughput.
2026-03-13T03:08:43Z	a5dc8d5	10.104298	9.976113	48.39	85.15	17.14	24.17	discard	screen [workspace] workspace_slots8: Increase workspace slots from 6 to 8 for more memory capacity.
2026-03-13T03:08:52Z	a5dc8d5	10.001878	9.976113	47.26	83.50	17.33	24.46	keep	screen [workspace] workspace_mlp_mult1: Smaller editor/update hidden size via workspace_mlp_mult=1.
2026-03-13T03:09:02Z	a5dc8d5	10.092767	9.976113	54.59	96.75	19.32	26.60	discard	screen [workspace] workspace_mlp_mult3: Larger editor/update hidden size via workspace_mlp_mult=3.
2026-03-13T03:09:11Z	a5dc8d5	10.052861	9.976113	47.67	83.58	17.50	25.12	keep	screen [workspace] update_norm_low: Tighter workspace and token update clamps.
2026-03-13T03:09:20Z	a5dc8d5	10.062353	9.976113	47.19	85.02	17.40	24.30	keep	screen [workspace] update_norm_high: Looser workspace and token update clamps.
2026-03-13T03:09:29Z	a5dc8d5	10.058215	9.976113	47.66	96.14	17.77	24.64	keep	screen [workspace] collapse_tiny: Reintroduce a tiny workspace collapse penalty to stabilize slot diversity.
2026-03-13T03:09:38Z	a5dc8d5	10.057383	9.976113	47.30	82.74	17.33	24.00	keep	screen [tape_summary] tape_recent8: Shorter exact tape window.
2026-03-13T03:09:47Z	a5dc8d5	10.057383	9.976113	52.51	84.58	18.46	25.42	discard	screen [tape_summary] tape_recent32: Longer exact tape window.
2026-03-13T03:09:55Z	a5dc8d5	10.057383	9.976113	47.65	82.60	17.12	24.23	keep	screen [tape_summary] tape_slots1: One tape slot per finalized block.
2026-03-13T03:10:04Z	a5dc8d5	10.057383	9.976113	47.28	82.39	17.35	24.43	keep	screen [tape_summary] tape_slots4: Four tape slots per finalized block.
2026-03-13T03:10:13Z	a5dc8d5	10.057383	9.976113	47.57	83.80	17.38	25.69	keep	screen [tape_summary] tape_coarse1: Use only one coarse tape level.
